" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Canada,2010,Total,33759742,16751392,17008350,100.0,100.0,100.0,98.5
"Custom Region",Canada,2010,0,345141,177164,167977,1.0,1.1,1.0,105.5
"Custom Region",Canada,2010,1,344683,176777,167906,1.0,1.1,1.0,105.3
"Custom Region",Canada,2010,2,344521,176545,167976,1.0,1.1,1.0,105.1
"Custom Region",Canada,2010,3,344700,176487,168213,1.0,1.1,1.0,104.9
"Custom Region",Canada,2010,4,345542,176775,168767,1.0,1.1,1.0,104.7
"Custom Region",Canada,2010,5,347503,177776,169727,1.0,1.1,1.0,104.7
"Custom Region",Canada,2010,6,349050,178429,170621,1.0,1.1,1.0,104.6
"Custom Region",Canada,2010,7,347371,177640,169731,1.0,1.1,1.0,104.7
"Custom Region",Canada,2010,8,349117,178738,170379,1.0,1.1,1.0,104.9
"Custom Region",Canada,2010,9,351313,179960,171353,1.0,1.1,1.0,105.0
"Custom Region",Canada,2010,10,356712,182961,173751,1.1,1.1,1.0,105.3
"Custom Region",Canada,2010,11,367834,188775,179059,1.1,1.1,1.1,105.4
"Custom Region",Canada,2010,12,366066,187993,178073,1.1,1.1,1.0,105.6
"Custom Region",Canada,2010,13,385970,198252,187718,1.1,1.2,1.1,105.6
"Custom Region",Canada,2010,14,414646,212954,201692,1.2,1.3,1.2,105.6
"Custom Region",Canada,2010,15,423579,217856,205723,1.3,1.3,1.2,105.9
"Custom Region",Canada,2010,16,433561,223219,210342,1.3,1.3,1.2,106.1
"Custom Region",Canada,2010,17,445138,228645,216493,1.3,1.4,1.3,105.6
"Custom Region",Canada,2010,18,461893,236870,225023,1.4,1.4,1.3,105.3
"Custom Region",Canada,2010,19,464714,238677,226037,1.4,1.4,1.3,105.6
"Custom Region",Canada,2010,20,467690,239965,227725,1.4,1.4,1.3,105.4
"Custom Region",Canada,2010,21,451458,231934,219524,1.3,1.4,1.3,105.7
"Custom Region",Canada,2010,22,442468,227367,215101,1.3,1.4,1.3,105.7
"Custom Region",Canada,2010,23,447697,230212,217485,1.3,1.4,1.3,105.9
"Custom Region",Canada,2010,24,456128,234639,221489,1.4,1.4,1.3,105.9
"Custom Region",Canada,2010,25,457962,235580,222382,1.4,1.4,1.3,105.9
"Custom Region",Canada,2010,26,456178,234105,222073,1.4,1.4,1.3,105.4
"Custom Region",Canada,2010,27,454869,232966,221903,1.3,1.4,1.3,105.0
"Custom Region",Canada,2010,28,456557,233493,223064,1.4,1.4,1.3,104.7
"Custom Region",Canada,2010,29,457402,233199,224203,1.4,1.4,1.3,104.0
"Custom Region",Canada,2010,30,453674,231830,221844,1.3,1.4,1.3,104.5
"Custom Region",Canada,2010,31,444087,226973,217114,1.3,1.4,1.3,104.5
"Custom Region",Canada,2010,32,438199,223907,214292,1.3,1.3,1.3,104.5
"Custom Region",Canada,2010,33,439497,223784,215713,1.3,1.3,1.3,103.7
"Custom Region",Canada,2010,34,442418,225610,216808,1.3,1.3,1.3,104.1
"Custom Region",Canada,2010,35,441014,224885,216129,1.3,1.3,1.3,104.1
"Custom Region",Canada,2010,36,428181,217582,210599,1.3,1.3,1.2,103.3
"Custom Region",Canada,2010,37,431150,219220,211930,1.3,1.3,1.2,103.4
"Custom Region",Canada,2010,38,438155,222477,215678,1.3,1.3,1.3,103.2
"Custom Region",Canada,2010,39,456394,230363,226031,1.4,1.4,1.3,101.9
"Custom Region",Canada,2010,40,459495,231786,227709,1.4,1.4,1.3,101.8
"Custom Region",Canada,2010,41,456667,229123,227544,1.4,1.4,1.3,100.7
"Custom Region",Canada,2010,42,458929,229505,229424,1.4,1.4,1.3,100.0
"Custom Region",Canada,2010,43,470380,234615,235765,1.4,1.4,1.4,99.5
"Custom Region",Canada,2010,44,494978,247358,247620,1.5,1.5,1.5,99.9
"Custom Region",Canada,2010,45,529885,265501,264384,1.6,1.6,1.6,100.4
"Custom Region",Canada,2010,46,545043,274229,270814,1.6,1.6,1.6,101.3
"Custom Region",Canada,2010,47,552536,278211,274325,1.6,1.7,1.6,101.4
"Custom Region",Canada,2010,48,546270,275572,270698,1.6,1.6,1.6,101.8
"Custom Region",Canada,2010,49,551633,278254,273379,1.6,1.7,1.6,101.8
"Custom Region",Canada,2010,50,543845,273823,270022,1.6,1.6,1.6,101.4
"Custom Region",Canada,2010,51,532090,267311,264779,1.6,1.6,1.6,101.0
"Custom Region",Canada,2010,52,526336,264150,262186,1.6,1.6,1.5,100.7
"Custom Region",Canada,2010,53,515317,257163,258154,1.5,1.5,1.5,99.6
"Custom Region",Canada,2010,54,495114,246471,248643,1.5,1.5,1.5,99.1
"Custom Region",Canada,2010,55,491025,243616,247409,1.5,1.5,1.5,98.5
"Custom Region",Canada,2010,56,474382,234520,239862,1.4,1.4,1.4,97.8
