" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",China,2012,Total,1349160868,694541013,654619855,100.0,100.0,100.0,106.1
"Custom Region",China,2012,0,15985842,8616675,7369167,1.2,1.2,1.1,116.9
"Custom Region",China,2012,1,15742727,8509464,7233263,1.2,1.2,1.1,117.6
"Custom Region",China,2012,2,15655532,8474341,7181191,1.2,1.2,1.1,118.0
"Custom Region",China,2012,3,15707414,8502472,7204942,1.2,1.2,1.1,118.0
"Custom Region",China,2012,4,15693972,8495572,7198400,1.2,1.2,1.1,118.0
"Custom Region",China,2012,5,15552310,8419284,7133026,1.2,1.2,1.1,118.0
"Custom Region",China,2012,6,15328568,8298432,7030136,1.1,1.2,1.1,118.0
"Custom Region",China,2012,7,15009168,8125958,6883210,1.1,1.2,1.1,118.1
"Custom Region",China,2012,8,14787129,8006457,6780672,1.1,1.2,1.0,118.1
"Custom Region",China,2012,9,14796295,8012876,6783419,1.1,1.2,1.0,118.1
"Custom Region",China,2012,10,15024873,8139005,6885868,1.1,1.2,1.1,118.2
"Custom Region",China,2012,11,15417359,8355268,7062091,1.1,1.2,1.1,118.3
"Custom Region",China,2012,12,15943951,8629262,7314689,1.2,1.2,1.1,118.0
"Custom Region",China,2012,13,16601427,8955669,7645758,1.2,1.3,1.2,117.1
"Custom Region",China,2012,14,17303897,9302334,8001563,1.3,1.3,1.2,116.3
"Custom Region",China,2012,15,17988975,9635447,8353528,1.3,1.4,1.3,115.3
"Custom Region",China,2012,16,19062615,10170017,8892598,1.4,1.5,1.4,114.4
"Custom Region",China,2012,17,19950139,10601233,9348906,1.5,1.5,1.4,113.4
"Custom Region",China,2012,18,20239628,10711677,9527951,1.5,1.5,1.5,112.4
"Custom Region",China,2012,19,20266063,10681998,9584065,1.5,1.5,1.5,111.5
"Custom Region",China,2012,20,20804077,10918451,9885626,1.5,1.6,1.5,110.4
"Custom Region",China,2012,21,21886145,11446950,10439195,1.6,1.6,1.6,109.7
"Custom Region",China,2012,22,29658626,15049818,14608808,2.2,2.2,2.2,103.0
"Custom Region",China,2012,23,26047028,13018936,13028092,1.9,1.9,2.0,99.9
"Custom Region",China,2012,24,24487392,12640445,11846947,1.8,1.8,1.8,106.7
"Custom Region",China,2012,25,25884276,13320066,12564210,1.9,1.9,1.9,106.0
"Custom Region",China,2012,26,21791095,11215805,10575290,1.6,1.6,1.6,106.1
"Custom Region",China,2012,27,19534424,10066678,9467746,1.4,1.4,1.4,106.3
"Custom Region",China,2012,28,19565885,10011471,9554414,1.5,1.4,1.5,104.8
"Custom Region",China,2012,29,20054349,10208554,9845795,1.5,1.5,1.5,103.7
"Custom Region",China,2012,30,23732216,12201592,11530624,1.8,1.8,1.8,105.8
"Custom Region",China,2012,31,17877148,9218525,8658623,1.3,1.3,1.3,106.5
"Custom Region",China,2012,32,18590833,9535504,9055329,1.4,1.4,1.4,105.3
"Custom Region",China,2012,33,18655561,9541354,9114207,1.4,1.4,1.4,104.7
"Custom Region",China,2012,34,18198695,9288315,8910380,1.3,1.3,1.4,104.2
"Custom Region",China,2012,35,18669315,9529956,9139359,1.4,1.4,1.4,104.3
"Custom Region",China,2012,36,19715521,10051469,9664052,1.5,1.4,1.5,104.0
"Custom Region",China,2012,37,20849526,10608743,10240783,1.5,1.5,1.6,103.6
"Custom Region",China,2012,38,22626080,11489264,11136816,1.7,1.7,1.7,103.2
"Custom Region",China,2012,39,23651404,12022285,11629119,1.8,1.7,1.8,103.4
"Custom Region",China,2012,40,23826254,12228337,11597917,1.8,1.8,1.8,105.4
"Custom Region",China,2012,41,25403959,13097438,12306521,1.9,1.9,1.9,106.4
"Custom Region",China,2012,42,25446708,12967946,12478762,1.9,1.9,1.9,103.9
"Custom Region",China,2012,43,26472492,13523031,12949461,2.0,1.9,2.0,104.4
"Custom Region",China,2012,44,23864458,12256298,11608160,1.8,1.8,1.8,105.6
"Custom Region",China,2012,45,22107305,11317913,10789392,1.6,1.6,1.6,104.9
"Custom Region",China,2012,46,24188653,12321997,11866656,1.8,1.8,1.8,103.8
"Custom Region",China,2012,47,23495937,11957463,11538474,1.7,1.7,1.8,103.6
"Custom Region",China,2012,48,24175364,12265806,11909558,1.8,1.8,1.8,103.0
"Custom Region",China,2012,49,25761786,13168126,12593660,1.9,1.9,1.9,104.6
"Custom Region",China,2012,50,15129730,7649206,7480524,1.1,1.1,1.1,102.3
"Custom Region",China,2012,51,10890668,5472091,5418577,0.8,0.8,0.8,101.0
"Custom Region",China,2012,52,13612912,6995209,6617703,1.0,1.0,1.0,105.7
"Custom Region",China,2012,53,13485111,6965696,6519415,1.0,1.0,1.0,106.8
"Custom Region",China,2012,54,17799243,9201938,8597305,1.3,1.3,1.3,107.0
"Custom Region",China,2012,55,17053862,8709704,8344158,1.3,1.3,1.3,104.4
"Custom Region",China,2012,56,16311724,8279451,8032273,1.2,1.2,1.2,103.1
"Custom Region",China,2012,57,17807272,9065357,8741915,1.3,1.3,1.3,103.7
"Custom Region",China,2012,58,16727285,8450539,8276746,1.2,1.2,1.3,102.1
"Custom Region",China,2012,59,15598266,7857317,7740949,1.2,1.1,1.2,101.5
"Custom Region",China,2012,60,15155154,7627807,7527347,1.1,1.1,1.1,101.3
"Custom Region",China,2012,61,12911401,6487554,6423847,1.0,0.9,1.0,101.0
"Custom Region",China,2012,62,13469110,6870127,6598983,1.0,1.0,1.0,104.1
"Custom Region",China,2012,63,11276594,5725382,5551212,0.8,0.8,0.8,103.1
"Custom Region",China,2012,64,10587510,5373615,5213895,0.8,0.8,0.8,103.1
"Custom Region",China,2012,65,10052284,5088502,4963782,0.7,0.7,0.8,102.5
"Custom Region",China,2012,66,9105535,4558007,4547528,0.7,0.7,0.7,100.2
"Custom Region",China,2012,67,8485048,4264194,4220854,0.6,0.6,0.6,101.0
"Custom Region",China,2012,68,7895257,3981611,3913646,0.6,0.6,0.6,101.7
"Custom Region",China,2012,69,7315059,3673297,3641762,0.5,0.5,0.6,100.9
"Custom Region",China,2012,70,7291028,3632887,3658141,0.5,0.5,0.6,99.3
"Custom Region",China,2012,71,6986993,3479060,3507933,0.5,0.5,0.5,99.2
"Custom Region",China,2012,72,6542298,3225808,3316490,0.5,0.5,0.5,97.3
"Custom Region",China,2012,73,6091663,2998950,3092713,0.5,0.4,0.5,97.0
"Custom Region",China,2012,74,6030452,2963427,3067025,0.4,0.4,0.5,96.6
"Custom Region",China,2012,75,5678163,2745604,2932559,0.4,0.4,0.4,93.6
"Custom Region",China,2012,76,5400286,2563473,2836813,0.4,0.4,0.4,90.4
"Custom Region",China,2012,77,4941269,2307637,2633632,0.4,0.3,0.4,87.6
"Custom Region",China,2012,78,4633729,2164285,2469444,0.3,0.3,0.4,87.6
"Custom Region",China,2012,79,4230771,1957393,2273378,0.3,0.3,0.3,86.1
"Custom Region",China,2012,80,3560773,1623127,1937646,0.3,0.2,0.3,83.8
"Custom Region",China,2012,81,3170088,1433210,1736878,0.2,0.2,0.3,82.5
"Custom Region",China,2012,82,2916592,1286388,1630204,0.2,0.2,0.2,78.9
"Custom Region",China,2012,83,2364973,1016224,1348749,0.2,0.1,0.2,75.3
"Custom Region",China,2012,84,2129803,902130,1227673,0.2,0.1,0.2,73.5
"Custom Region",China,2012,85-89,5779786,2272463,3507323,0.4,0.3,0.5,64.8
"Custom Region",China,2012,90-94,1460720,485977,974743,0.1,0.1,0.1,49.9
"Custom Region",China,2012,95-99,190187,51802,138385,0.0,0.0,0.0,37.4
"Custom Region",China,2012,100+,11873,2587,9286,0.0,0.0,0.0,27.9
