" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",India,2012,Total,1205073612,625350835,579722777,100.0,100.0,100.0,107.9
"Custom Region",India,2012,0,23951519,12661119,11290400,2.0,2.0,1.9,112.1
"Custom Region",India,2012,1,23688908,12546183,11142725,2.0,2.0,1.9,112.6
"Custom Region",India,2012,2,23583393,12510648,11072745,2.0,2.0,1.9,113.0
"Custom Region",India,2012,3,23518896,12487252,11031644,2.0,2.0,1.9,113.2
"Custom Region",India,2012,4,23455636,12462088,10993548,1.9,2.0,1.9,113.4
"Custom Region",India,2012,5,23389834,12433785,10956049,1.9,2.0,1.9,113.5
"Custom Region",India,2012,6,23400686,12444109,10956577,1.9,2.0,1.9,113.6
"Custom Region",India,2012,7,23477638,12487206,10990432,1.9,2.0,1.9,113.6
"Custom Region",India,2012,8,23526963,12513686,11013277,2.0,2.0,1.9,113.6
"Custom Region",India,2012,9,23542133,12521569,11020564,2.0,2.0,1.9,113.6
"Custom Region",India,2012,10,23527444,12513662,11013782,2.0,2.0,1.9,113.6
"Custom Region",India,2012,11,23499619,12498947,11000672,2.0,2.0,1.9,113.6
"Custom Region",India,2012,12,23461727,12477450,10984277,1.9,2.0,1.9,113.6
"Custom Region",India,2012,13,23397216,12440196,10957020,1.9,2.0,1.9,113.5
"Custom Region",India,2012,14,23309834,12388262,10921572,1.9,2.0,1.9,113.4
"Custom Region",India,2012,15,23190362,12318342,10872020,1.9,2.0,1.9,113.3
"Custom Region",India,2012,16,23001146,12210940,10790206,1.9,2.0,1.9,113.2
"Custom Region",India,2012,17,22742488,12065880,10676608,1.9,1.9,1.8,113.0
"Custom Region",India,2012,18,22452152,11903467,10548685,1.9,1.9,1.8,112.8
"Custom Region",India,2012,19,22131509,11724863,10406646,1.8,1.9,1.8,112.7
"Custom Region",India,2012,20,21780934,11531419,10249515,1.8,1.8,1.8,112.5
"Custom Region",India,2012,21,21429651,11300320,10129331,1.8,1.8,1.7,111.6
"Custom Region",India,2012,22,21163712,11107628,10056084,1.8,1.8,1.7,110.5
"Custom Region",India,2012,23,20989145,10986134,10003011,1.7,1.8,1.7,109.8
"Custom Region",India,2012,24,20798302,10870049,9928253,1.7,1.7,1.7,109.5
"Custom Region",India,2012,25,20587622,10748440,9839182,1.7,1.7,1.7,109.2
"Custom Region",India,2012,26,20359763,10616875,9742888,1.7,1.7,1.7,109.0
