" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",India,2010,Total,1173108018,608633795,564474223,100.0,100.0,100.0,107.8
"Custom Region",India,2010,0,24089627,12733727,11355900,2.1,2.1,2.0,112.1
"Custom Region",India,2010,1,23765277,12587293,11177984,2.0,2.1,2.0,112.6
"Custom Region",India,2010,2,23609953,12527030,11082923,2.0,2.1,2.0,113.0
"Custom Region",India,2010,3,23504904,12483305,11021599,2.0,2.1,2.0,113.3
"Custom Region",India,2010,4,23485146,12482284,11002862,2.0,2.1,1.9,113.4
"Custom Region",India,2010,5,23539417,12517146,11022271,2.0,2.1,2.0,113.6
"Custom Region",India,2010,6,23575657,12538382,11037275,2.0,2.1,2.0,113.6
"Custom Region",India,2010,7,23583072,12542898,11040174,2.0,2.1,2.0,113.6
"Custom Region",India,2010,8,23563911,12533001,11030910,2.0,2.1,2.0,113.6
"Custom Region",India,2010,9,23533821,12517262,11016559,2.0,2.1,2.0,113.6
"Custom Region",India,2010,10,23495272,12495473,10999799,2.0,2.1,1.9,113.6
"Custom Region",India,2010,11,23431558,12458566,10972992,2.0,2.0,1.9,113.5
"Custom Region",India,2010,12,23346411,12407573,10938838,2.0,2.0,1.9,113.4
"Custom Region",India,2010,13,23230631,12339244,10891387,2.0,2.0,1.9,113.3
"Custom Region",India,2010,14,23046341,12233984,10812357,2.0,2.0,1.9,113.1
"Custom Region",India,2010,15,22793114,12091291,10701823,1.9,2.0,1.9,113.0
"Custom Region",India,2010,16,22507636,11931143,10576493,1.9,2.0,1.9,112.8
"Custom Region",India,2010,17,22190340,11754460,10435880,1.9,1.9,1.8,112.6
"Custom Region",India,2010,18,21841721,11562535,10279186,1.9,1.9,1.8,112.5
"Custom Region",India,2010,19,21491994,11332734,10159260,1.8,1.9,1.8,111.6
"Custom Region",India,2010,20,21227991,11141590,10086401,1.8,1.8,1.8,110.5
"Custom Region",India,2010,21,21055692,11021839,10033853,1.8,1.8,1.8,109.8
"Custom Region",India,2010,22,20867020,10907275,9959745,1.8,1.8,1.8,109.5
"Custom Region",India,2010,23,20659205,10787288,9871917,1.8,1.8,1.7,109.3
"Custom Region",India,2010,24,20434796,10657510,9777286,1.7,1.8,1.7,109.0
"Custom Region",India,2010,25,20198949,10520202,9678747,1.7,1.7,1.7,108.7
"Custom Region",India,2010,26,19954959,10380582,9574377,1.7,1.7,1.7,108.4
"Custom Region",India,2010,27,19704870,10239096,9465774,1.7,1.7,1.7,108.2
"Custom Region",India,2010,28,19449620,10095896,9353724,1.7,1.7,1.7,107.9
"Custom Region",India,2010,29,19190312,9951254,9239058,1.6,1.6,1.6,107.7
"Custom Region",India,2010,30,18927725,9805013,9122712,1.6,1.6,1.6,107.5
"Custom Region",India,2010,31,18663008,9657584,9005424,1.6,1.6,1.6,107.2
"Custom Region",India,2010,32,18397208,9509616,8887592,1.6,1.6,1.6,107.0
"Custom Region",India,2010,33,18130633,9360895,8769738,1.5,1.5,1.6,106.7
"Custom Region",India,2010,34,17863880,9211242,8652638,1.5,1.5,1.5,106.5
"Custom Region",India,2010,35,17598049,9060983,8537066,1.5,1.5,1.5,106.1
"Custom Region",India,2010,36,17332938,8910205,8422733,1.5,1.5,1.5,105.8
"Custom Region",India,2010,37,17067579,8758791,8308788,1.5,1.4,1.5,105.4
"Custom Region",India,2010,38,16808313,8610503,8197810,1.4,1.4,1.5,105.0
"Custom Region",India,2010,39,16414921,8400218,8014703,1.4,1.4,1.4,104.8
"Custom Region",India,2010,40,15894055,8131446,7762609,1.4,1.3,1.4,104.8
"Custom Region",India,2010,41,15391358,7872275,7519083,1.3,1.3,1.3,104.7
"Custom Region",India,2010,42,14901483,7619775,7281708,1.3,1.3,1.3,104.6
"Custom Region",India,2010,43,14423873,7373409,7050464,1.2,1.2,1.2,104.6
"Custom Region",India,2010,44,13957455,7132456,6824999,1.2,1.2,1.2,104.5
"Custom Region",India,2010,45,13501246,6896439,6604807,1.2,1.1,1.2,104.4
"Custom Region",India,2010,46,13054082,6664917,6389165,1.1,1.1,1.1,104.3
"Custom Region",India,2010,47,12614938,6437508,6177430,1.1,1.1,1.1,104.2
"Custom Region",India,2010,48,12183557,6214248,5969309,1.0,1.0,1.1,104.1
"Custom Region",India,2010,49,11759683,5995062,5764621,1.0,1.0,1.0,104.0
"Custom Region",India,2010,50,11342889,5779642,5563247,1.0,0.9,1.0,103.9
"Custom Region",India,2010,51,10932530,5567604,5364926,0.9,0.9,1.0,103.8
