" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Norway,2014,Total,5147792,2589391,2558401,100.0,100.0,100.0,101.2
"Custom Region",Norway,2014,0,61962,31790,30172,1.2,1.2,1.2,105.4
"Custom Region",Norway,2014,1,61719,31648,30071,1.2,1.2,1.2,105.2
"Custom Region",Norway,2014,2,62023,31826,30197,1.2,1.2,1.2,105.4
"Custom Region",Norway,2014,3,63310,32454,30856,1.2,1.3,1.2,105.2
"Custom Region",Norway,2014,4,64742,33184,31558,1.3,1.3,1.2,105.2
"Custom Region",Norway,2014,5,64742,33250,31492,1.3,1.3,1.2,105.6
"Custom Region",Norway,2014,6,63462,32578,30884,1.2,1.3,1.2,105.5
"Custom Region",Norway,2014,7,62798,32234,30564,1.2,1.2,1.2,105.5
"Custom Region",Norway,2014,8,62070,31831,30239,1.2,1.2,1.2,105.3
"Custom Region",Norway,2014,9,61343,31469,29874,1.2,1.2,1.2,105.3
"Custom Region",Norway,2014,10,61173,31433,29740,1.2,1.2,1.2,105.7
"Custom Region",Norway,2014,11,60318,30936,29382,1.2,1.2,1.1,105.3
"Custom Region",Norway,2014,12,60488,30943,29545,1.2,1.2,1.2,104.7
"Custom Region",Norway,2014,13,62367,31973,30394,1.2,1.2,1.2,105.2
"Custom Region",Norway,2014,14,63787,32627,31160,1.2,1.3,1.2,104.7
"Custom Region",Norway,2014,15,63816,32593,31223,1.2,1.3,1.2,104.4
"Custom Region",Norway,2014,16,64468,33088,31380,1.3,1.3,1.2,105.4
"Custom Region",Norway,2014,17,66121,34105,32016,1.3,1.3,1.3,106.5
"Custom Region",Norway,2014,18,66648,34359,32289,1.3,1.3,1.3,106.4
"Custom Region",Norway,2014,19,66621,34293,32328,1.3,1.3,1.3,106.1
"Custom Region",Norway,2014,20,66946,34453,32493,1.3,1.3,1.3,106.0
"Custom Region",Norway,2014,21,68301,35119,33182,1.3,1.4,1.3,105.8
"Custom Region",Norway,2014,22,70095,36069,34026,1.4,1.4,1.3,106.0
"Custom Region",Norway,2014,23,71766,36893,34873,1.4,1.4,1.4,105.8
"Custom Region",Norway,2014,24,72112,36901,35211,1.4,1.4,1.4,104.8
"Custom Region",Norway,2014,25,71523,36540,34983,1.4,1.4,1.4,104.5
"Custom Region",Norway,2014,26,70423,35866,34557,1.4,1.4,1.4,103.8
"Custom Region",Norway,2014,27,69419,35471,33948,1.3,1.4,1.3,104.5
"Custom Region",Norway,2014,28,68917,35377,33540,1.3,1.4,1.3,105.5
"Custom Region",Norway,2014,29,68406,35084,33322,1.3,1.4,1.3,105.3
"Custom Region",Norway,2014,30,68098,35030,33068,1.3,1.4,1.3,105.9
"Custom Region",Norway,2014,31,68366,35364,33002,1.3,1.4,1.3,107.2
"Custom Region",Norway,2014,32,68490,35372,33118,1.3,1.4,1.3,106.8
"Custom Region",Norway,2014,33,67958,35202,32756,1.3,1.4,1.3,107.5
"Custom Region",Norway,2014,34,67706,35244,32462,1.3,1.4,1.3,108.6
"Custom Region",Norway,2014,35,67280,35044,32236,1.3,1.4,1.3,108.7
"Custom Region",Norway,2014,36,66035,34326,31709,1.3,1.3,1.2,108.3
"Custom Region",Norway,2014,37,66098,34205,31893,1.3,1.3,1.2,107.2
"Custom Region",Norway,2014,38,68018,35089,32929,1.3,1.4,1.3,106.6
"Custom Region",Norway,2014,39,70467,36158,34309,1.4,1.4,1.3,105.4
"Custom Region",Norway,2014,40,72395,37170,35225,1.4,1.4,1.4,105.5
"Custom Region",Norway,2014,41,73857,37976,35881,1.4,1.5,1.4,105.8
"Custom Region",Norway,2014,42,74926,38365,36561,1.5,1.5,1.4,104.9
"Custom Region",Norway,2014,43,74645,38153,36492,1.5,1.5,1.4,104.6
"Custom Region",Norway,2014,44,75320,38568,36752,1.5,1.5,1.4,104.9
"Custom Region",Norway,2014,45,76177,39061,37116,1.5,1.5,1.5,105.2
"Custom Region",Norway,2014,46,74702,38253,36449,1.5,1.5,1.4,104.9
"Custom Region",Norway,2014,47,73551,37719,35832,1.4,1.5,1.4,105.3
"Custom Region",Norway,2014,48,72939,37584,35355,1.4,1.5,1.4,106.3
"Custom Region",Norway,2014,49,71825,37017,34808,1.4,1.4,1.4,106.3
"Custom Region",Norway,2014,50,69978,35900,34078,1.4,1.4,1.3,105.3
"Custom Region",Norway,2014,51,67615,34614,33001,1.3,1.3,1.3,104.9
"Custom Region",Norway,2014,52,66298,33994,32304,1.3,1.3,1.3,105.2
"Custom Region",Norway,2014,53,65274,33350,31924,1.3,1.3,1.2,104.5
"Custom Region",Norway,2014,54,65003,33243,31760,1.3,1.3,1.2,104.7
"Custom Region",Norway,2014,55,64632,32983,31649,1.3,1.3,1.2,104.2
"Custom Region",Norway,2014,56,63629,32332,31297,1.2,1.2,1.2,103.3
"Custom Region",Norway,2014,57,63077,31893,31184,1.2,1.2,1.2,102.3
"Custom Region",Norway,2014,58,62632,31651,30981,1.2,1.2,1.2,102.2
"Custom Region",Norway,2014,59,61098,30841,30257,1.2,1.2,1.2,101.9
"Custom Region",Norway,2014,60,60004,30171,29833,1.2,1.2,1.2,101.1
"Custom Region",Norway,2014,61,59018,29732,29286,1.1,1.1,1.1,101.5
"Custom Region",Norway,2014,62,57002,28879,28123,1.1,1.1,1.1,102.7
"Custom Region",Norway,2014,63,55929,28318,27611,1.1,1.1,1.1,102.6
"Custom Region",Norway,2014,64,56207,28294,27913,1.1,1.1,1.1,101.4
"Custom Region",Norway,2014,65,56427,28440,27987,1.1,1.1,1.1,101.6
"Custom Region",Norway,2014,66,57079,28608,28471,1.1,1.1,1.1,100.5
"Custom Region",Norway,2014,67,58268,29052,29216,1.1,1.1,1.1,99.4
"Custom Region",Norway,2014,68,55622,27588,28034,1.1,1.1,1.1,98.4
"Custom Region",Norway,2014,69,50953,25224,25729,1.0,1.0,1.0,98.0
"Custom Region",Norway,2014,70,46491,22878,23613,0.9,0.9,0.9,96.9
"Custom Region",Norway,2014,71,41368,20128,21240,0.8,0.8,0.8,94.8
"Custom Region",Norway,2014,72,36527,17539,18988,0.7,0.7,0.7,92.4
"Custom Region",Norway,2014,73,34012,16230,17782,0.7,0.6,0.7,91.3
"Custom Region",Norway,2014,74,33413,15773,17640,0.6,0.6,0.7,89.4
"Custom Region",Norway,2014,75,31469,14611,16858,0.6,0.6,0.7,86.7
"Custom Region",Norway,2014,76,29364,13457,15907,0.6,0.5,0.6,84.6
"Custom Region",Norway,2014,77,27344,12398,14946,0.5,0.5,0.6,83.0
"Custom Region",Norway,2014,78,25540,11386,14154,0.5,0.4,0.6,80.4
"Custom Region",Norway,2014,79,24028,10512,13516,0.5,0.4,0.5,77.8
"Custom Region",Norway,2014,80,22903,10007,12896,0.4,0.4,0.5,77.6
"Custom Region",Norway,2014,81,22341,9494,12847,0.4,0.4,0.5,73.9
"Custom Region",Norway,2014,82,21660,8982,12678,0.4,0.3,0.5,70.8
"Custom Region",Norway,2014,83,20329,8200,12129,0.4,0.3,0.5,67.6
"Custom Region",Norway,2014,84,18871,7464,11407,0.4,0.3,0.4,65.4
"Custom Region",Norway,2014,85-89,71071,25450,45621,1.4,1.0,1.8,55.8
"Custom Region",Norway,2014,90-94,34960,10256,24704,0.7,0.4,1.0,41.5
"Custom Region",Norway,2014,95-99,8513,2024,6489,0.2,0.1,0.3,31.2
"Custom Region",Norway,2014,100+,1104,208,896,0.0,0.0,0.0,23.2
