" Single Year Age Groups for Region Summary"
Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Norway,1991,Total,4261733,2107177,2154556,100.0,100.0,100.0,97.8
"Custom Region",Norway,1991,0,60656,31145,29511,1.4,1.5,1.4,105.5
"Custom Region",Norway,1991,1,60080,30810,29270,1.4,1.5,1.4,105.3
"Custom Region",Norway,1991,2,58470,30008,28462,1.4,1.4,1.3,105.4
"Custom Region",Norway,1991,3,56013,28622,27391,1.3,1.4,1.3,104.5
"Custom Region",Norway,1991,4,53783,27534,26249,1.3,1.3,1.2,104.9
"Custom Region",Norway,1991,5,52533,26997,25536,1.2,1.3,1.2,105.7
"Custom Region",Norway,1991,6,51472,26363,25109,1.2,1.3,1.2,105.0
"Custom Region",Norway,1991,7,51011,26176,24835,1.2,1.2,1.2,105.4
"Custom Region",Norway,1991,8,51498,26519,24979,1.2,1.3,1.2,106.2
"Custom Region",Norway,1991,9,52015,26606,25409,1.2,1.3,1.2,104.7
"Custom Region",Norway,1991,10,52013,26613,25400,1.2,1.3,1.2,104.8
"Custom Region",Norway,1991,11,52304,26858,25446,1.2,1.3,1.2,105.5
"Custom Region",Norway,1991,12,52592,26974,25618,1.2,1.3,1.2,105.3
"Custom Region",Norway,1991,13,52268,26798,25470,1.2,1.3,1.2,105.2
"Custom Region",Norway,1991,14,53108,27164,25944,1.2,1.3,1.2,104.7
"Custom Region",Norway,1991,15,55787,28497,27290,1.3,1.4,1.3,104.4
"Custom Region",Norway,1991,16,58991,30018,28973,1.4,1.4,1.3,103.6
"Custom Region",Norway,1991,17,61588,31438,30150,1.4,1.5,1.4,104.3
"Custom Region",Norway,1991,18,63845,32686,31159,1.5,1.6,1.4,104.9
"Custom Region",Norway,1991,19,65700,33538,32162,1.5,1.6,1.5,104.3
"Custom Region",Norway,1991,20,65834,33625,32209,1.5,1.6,1.5,104.4
"Custom Region",Norway,1991,21,67057,34335,32722,1.6,1.6,1.5,104.9
"Custom Region",Norway,1991,22,68519,35118,33401,1.6,1.7,1.6,105.1
"Custom Region",Norway,1991,23,67885,34742,33143,1.6,1.6,1.5,104.8
"Custom Region",Norway,1991,24,67629,34691,32938,1.6,1.6,1.5,105.3
"Custom Region",Norway,1991,25,67645,34869,32776,1.6,1.7,1.5,106.4
"Custom Region",Norway,1991,26,67095,34610,32485,1.6,1.6,1.5,106.5
"Custom Region",Norway,1991,27,65837,33802,32035,1.5,1.6,1.5,105.5
"Custom Region",Norway,1991,28,64199,32938,31261,1.5,1.6,1.5,105.4
"Custom Region",Norway,1991,29,63593,32724,30869,1.5,1.6,1.4,106.0
"Custom Region",Norway,1991,30,63226,32474,30752,1.5,1.5,1.4,105.6
"Custom Region",Norway,1991,31,63424,32619,30805,1.5,1.5,1.4,105.9
"Custom Region",Norway,1991,32,63670,32705,30965,1.5,1.6,1.4,105.6
"Custom Region",Norway,1991,33,63303,32401,30902,1.5,1.5,1.4,104.9
"Custom Region",Norway,1991,34,63498,32403,31095,1.5,1.5,1.4,104.2
"Custom Region",Norway,1991,35,63535,32435,31100,1.5,1.5,1.4,104.3
"Custom Region",Norway,1991,36,62588,31979,30609,1.5,1.5,1.4,104.5
"Custom Region",Norway,1991,37,62008,31623,30385,1.5,1.5,1.4,104.1
"Custom Region",Norway,1991,38,61652,31568,30084,1.4,1.5,1.4,104.9
"Custom Region",Norway,1991,39,60218,31065,29153,1.4,1.5,1.4,106.6
"Custom Region",Norway,1991,40,59793,30884,28909,1.4,1.5,1.3,106.8
"Custom Region",Norway,1991,41,60699,31311,29388,1.4,1.5,1.4,106.5
"Custom Region",Norway,1991,42,61674,31876,29798,1.4,1.5,1.4,107.0
"Custom Region",Norway,1991,43,63297,32629,30668,1.5,1.5,1.4,106.4
"Custom Region",Norway,1991,44,65512,33663,31849,1.5,1.6,1.5,105.7
"Custom Region",Norway,1991,45,63364,32504,30860,1.5,1.5,1.4,105.3
"Custom Region",Norway,1991,46,58785,30188,28597,1.4,1.4,1.3,105.6
"Custom Region",Norway,1991,47,54473,27965,26508,1.3,1.3,1.2,105.5
"Custom Region",Norway,1991,48,49236,25106,24130,1.2,1.2,1.1,104.0
"Custom Region",Norway,1991,49,44300,22458,21842,1.0,1.1,1.0,102.8
"Custom Region",Norway,1991,50,42090,21287,20803,1.0,1.0,1.0,102.3
"Custom Region",Norway,1991,51,42198,21257,20941,1.0,1.0,1.0,101.5
"Custom Region",Norway,1991,52,40917,20484,20433,1.0,1.0,0.9,100.2
"Custom Region",Norway,1991,53,39296,19621,19675,0.9,0.9,0.9,99.7
"Custom Region",Norway,1991,54,37714,18840,18874,0.9,0.9,0.9,99.8
"Custom Region",Norway,1991,55,36306,18008,18298,0.9,0.9,0.8,98.4
"Custom Region",Norway,1991,56,35647,17621,18026,0.8,0.8,0.8,97.8
"Custom Region",Norway,1991,57,35696,17760,17936,0.8,0.8,0.8,99.0
"Custom Region",Norway,1991,58,36821,18236,18585,0.9,0.9,0.9,98.1
"Custom Region",Norway,1991,59,38000,18619,19381,0.9,0.9,0.9,96.1
"Custom Region",Norway,1991,60,38472,18816,19656,0.9,0.9,0.9,95.7
"Custom Region",Norway,1991,61,38576,18912,19664,0.9,0.9,0.9,96.2
"Custom Region",Norway,1991,62,38456,18684,19772,0.9,0.9,0.9,94.5
"Custom Region",Norway,1991,63,38550,18562,19988,0.9,0.9,0.9,92.9
"Custom Region",Norway,1991,64,39304,18854,20450,0.9,0.9,0.9,92.2
"Custom Region",Norway,1991,65,39843,19010,20833,0.9,0.9,1.0,91.2
"Custom Region",Norway,1991,66,40317,19118,21199,0.9,0.9,1.0,90.2
"Custom Region",Norway,1991,67,41561,19516,22045,1.0,0.9,1.0,88.5
"Custom Region",Norway,1991,68,41680,19281,22399,1.0,0.9,1.0,86.1
"Custom Region",Norway,1991,69,41236,18711,22525,1.0,0.9,1.0,83.1
"Custom Region",Norway,1991,70,42245,18991,23254,1.0,0.9,1.1,81.7
"Custom Region",Norway,1991,71,39281,17586,21695,0.9,0.8,1.0,81.1
"Custom Region",Norway,1991,72,35718,15702,20016,0.8,0.7,0.9,78.4
"Custom Region",Norway,1991,73,35654,15380,20274,0.8,0.7,0.9,75.9
"Custom Region",Norway,1991,74,33713,14285,19428,0.8,0.7,0.9,73.5
"Custom Region",Norway,1991,75,31465,13069,18396,0.7,0.6,0.9,71.0
"Custom Region",Norway,1991,76,29972,12324,17648,0.7,0.6,0.8,69.8
"Custom Region",Norway,1991,77,28461,11578,16883,0.7,0.5,0.8,68.6
"Custom Region",Norway,1991,78,26884,10722,16162,0.6,0.5,0.8,66.3
"Custom Region",Norway,1991,79,25047,9776,15271,0.6,0.5,0.7,64.0
"Custom Region",Norway,1991,80,22857,8691,14166,0.5,0.4,0.7,61.4
"Custom Region",Norway,1991,81,21056,7746,13310,0.5,0.4,0.6,58.2
"Custom Region",Norway,1991,82,18822,6721,12101,0.4,0.3,0.6,55.5
"Custom Region",Norway,1991,83,16570,5732,10838,0.4,0.3,0.5,52.9
"Custom Region",Norway,1991,84,14653,4885,9768,0.3,0.2,0.5,50.0
"Custom Region",Norway,1991,85-89,47584,14778,32806,1.1,0.7,1.5,45.0
"Custom Region",Norway,1991,90-94,16258,4441,11817,0.4,0.2,0.5,37.6
"Custom Region",Norway,1991,95-99,3214,832,2382,0.1,0.0,0.1,34.9
"Custom Region",Norway,1991,100+,324,67,257,0.0,0.0,0.0,26.1
