 Single Year Age Groups for Region Summary,,,,,
Region,Country,Year,Age,POPEST2010_CIV,POPEST2011_CIV
Custom Region,Canada,2010,Total,33759742,34030589
Custom Region,Canada,2010,0,345141,347905
Custom Region,Canada,2010,1,344683,347367
Custom Region,Canada,2010,2,344521,346980
Custom Region,Canada,2010,3,344700,346851
Custom Region,Canada,2010,4,345542,347040
Custom Region,Canada,2010,5,347503,348248
Custom Region,Canada,2010,6,349050,350569
Custom Region,Canada,2010,7,347371,352119
Custom Region,Canada,2010,8,349117,350441
Custom Region,Canada,2010,9,351313,352189
Custom Region,Canada,2010,10,356712,355071
Custom Region,Canada,2010,11,367834,361151
Custom Region,Canada,2010,12,366066,372268
Custom Region,Canada,2010,13,385970,370495
Custom Region,Canada,2010,14,414646,390385
Custom Region,Canada,2010,15,423579,419556
Custom Region,Canada,2010,16,433561,428971
Custom Region,Canada,2010,17,445138,438911
Custom Region,Canada,2010,18,461893,450450
Custom Region,Canada,2010,19,464714,467181
Custom Region,Canada,2010,20,467690,468749
Custom Region,Canada,2010,21,451458,470485
Custom Region,Canada,2010,22,442468,454260
Custom Region,Canada,2010,23,447697,445273
Custom Region,Canada,2010,24,456128,450494
Custom Region,Canada,2010,25,457962,459299
Custom Region,Canada,2010,26,456178,461511
Custom Region,Canada,2010,27,454869,459731
Custom Region,Canada,2010,28,456557,458425
Custom Region,Canada,2010,29,457402,460106
Custom Region,Canada,2010,30,453674,460129
Custom Region,Canada,2010,31,444087,455583
Custom Region,Canada,2010,32,438199,445995
Custom Region,Canada,2010,33,439497,440097
Custom Region,Canada,2010,34,442418,441378
Custom Region,Canada,2010,35,441014,444206
Custom Region,Canada,2010,36,428181,442709
Custom Region,Canada,2010,37,431150,429862
Custom Region,Canada,2010,38,438155,432801
Custom Region,Canada,2010,39,456394,439770
Custom Region,Canada,2010,40,459495,457891
Custom Region,Canada,2010,41,456667,460886
Custom Region,Canada,2010,42,458929,458016
Custom Region,Canada,2010,43,470380,460222
Custom Region,Canada,2010,44,494978,471589
Custom Region,Canada,2010,45,529885,495966
Custom Region,Canada,2010,46,545043,530617
Custom Region,Canada,2010,47,552536,545635
Custom Region,Canada,2010,48,546270,552995
Custom Region,Canada,2010,49,551633,546623
Custom Region,Canada,2010,50,543845,551306
Custom Region,Canada,2010,51,532090,542870
Custom Region,Canada,2010,52,526336,531000
Custom Region,Canada,2010,53,515317,525095
Custom Region,Canada,2010,54,495114,513925
Custom Region,Canada,2010,55,491025,493854
Custom Region,Canada,2010,56,474382,489825
Custom Region,Canada,2010,57,455104,473028
Custom Region,Canada,2010,58,441094,453607
Custom Region,Canada,2010,59,432873,439418
Custom Region,Canada,2010,60,422841,430962
Custom Region,Canada,2010,61,414331,420690
Custom Region,Canada,2010,62,409557,411926
Custom Region,Canada,2010,63,406898,406849
Custom Region,Canada,2010,64,352064,403856
Custom Region,Canada,2010,65,326826,350284
Custom Region,Canada,2010,66,315916,326027
Custom Region,Canada,2010,67,304991,314906
Custom Region,Canada,2010,68,283458,303755
Custom Region,Canada,2010,69,271510,282147
Custom Region,Canada,2010,70,254971,269783
Custom Region,Canada,2010,71,245991,252905
Custom Region,Canada,2010,72,234931,243651
Custom Region,Canada,2010,73,225908,232353
Custom Region,Canada,2010,74,224169,223052
Custom Region,Canada,2010,75,215567,219548
Custom Region,Canada,2010,76,205298,209341
Custom Region,Canada,2010,77,202150,198771
Custom Region,Canada,2010,78,195774,195075
Custom Region,Canada,2010,79,187389,188209
Custom Region,Canada,2010,80,176704,179629
Custom Region,Canada,2010,81,163536,168843
Custom Region,Canada,2010,82,155511,155513
Custom Region,Canada,2010,83,144763,147097
Custom Region,Canada,2010,84,127962,136135
Custom Region,Canada,2010,85,457723,475735
Custom Region,Canada,2010,90,217863,227415
Custom Region,Canada,2010,95,74836,78234
Custom Region,Canada,2010,100,17076,18519
